Ty Dolla $ign	Entergalactic
Eliza Dushku	Wrong Turn
André Dussollier	36 Quai des Orfèvres
André Dussollier	Boîte noire
André Dussollier	La belle et la bête
André Dussollier	Micmacs à tire-larigot
André Dussollier	Ne le dis à personne
André Dussollier	Tais-toi!
André Dussollier	Un coeur en hiver
André Dussollier	Vidocq
Sanjay Dutt	Agneepath
Sanjay Dutt	Bhuj: The Pride of India
Sanjay Dutt	Dhamaal
Sanjay Dutt	K.G.F: Chapter 2
Sanjay Dutt	Kalank
Sanjay Dutt	Lage Raho Munna Bhai
Sanjay Dutt	Leo
Sanjay Dutt	Munna Bhai M.B.B.S.
Sanjay Dutt	PK
Sanjay Dutt	Sadak 2
Sanjay Dutt	Samrat Prithviraj
Sanjay Dutt	Shamshera
Sanjay Dutt	Shootout at Lokhandwala
Sanjay Dutt	Son of Sardaar
Sanjay Dutt	Torbaaz
Sanjay Dutt	Vaastav: The Reality
Divya Dutta	Bhaag Milkha Bhaag
Lara Dutta	Bhagam Bhag
Lara Dutta	Billu
Lara Dutta	Housefull
Lara Dutta	Partner
Nikita Dutta	Kabir Singh
Nikita Dutta	The Big Bull
Charles S. Dutton	Alien³
Charles S. Dutton	Bad Ass
Charles S. Dutton	D-Tox
Charles S. Dutton	Gothika
Charles S. Dutton	Legion
Charles S. Dutton	Nick of Time
Charles S. Dutton	Random Hearts
Charles S. Dutton	Surviving the Game
Daniel Duval	Banlieue 13: Ultimatum
James Duval	May
James Duval	The Doom Generation
Robert Duvall	A Civil Action
Robert Duvall	Apocalypse Now
Robert Duvall	Colors
Robert Duvall	Days of Thunder
Robert Duvall	Deep Impact
Robert Duvall	Falling Down
Robert Duvall	Four Christmases
Robert Duvall	Geronimo: An American Legend
Robert Duvall	Get Low
Robert Duvall	Gods and Generals
Robert Duvall	Joe Kidd
Robert Duvall	John Q
Robert Duvall	Kicking & Screaming
Robert Duvall	Lucky You
Robert Duvall	Network
Robert Duvall	Newsies
Robert Duvall	Open Range
Robert Duvall	Phenomenon
Robert Duvall	Secondhand Lions
Robert Duvall	Something to Talk About
Robert Duvall	THX 1138
Robert Duvall	Tender Mercies
Robert Duvall	The Apostle
Robert Duvall	The Eagle Has Landed
Robert Duvall	The Godfather Part II
Robert Duvall	The Judge
Robert Duvall	The Natural
Robert Duvall	The Paper
Robert Duvall	The Road
Robert Duvall	The Scarlet Letter
Shelley Duvall	3 Women
Shelley Duvall	Nashville
Shelley Duvall	Popeye
Shelley Duvall	Roxanne
Shelley Duvall	Suburban Commando
Shelley Duvall	The Shining
Shelley Duvall	Time Bandits
Wayne Duvall	The Hunt
Nicolas Duvauchelle	Balle perdue
Nicolas Duvauchelle	Polisse
Ann Dvorak	Scarface
Peter Dvorsky	Videodrome
Vladislav Dvorzhetskiy	Solyaris
Ruth Dwyer	Seven Chances
Clint Dyer	Acts of Vengeance
Clint Dyer	Mine
Danny Dyer	Age of Heroes
Danny Dyer	Doghouse
Danny Dyer	Outlaw
Danny Dyer	Severance
Danny Dyer	The Business
Danny Dyer	The Football Factory
Harriet Dyer	The Invisible Man
Natalia Dyer	Things Heard & Seen
Natalia Dyer	Yes, God, Yes
Dick Van Dyke	Chitty Chitty Bang Bang
Dick Van Dyke	Mary Poppins
Dick Van Dyke	Night at the Museum
Dick Van Dyke	Night at the Museum: Secret of the Tomb
Dyler	321 Action
Mark Dymond	Until Death
Jacques Dynam	Fantômas
Phoebe Dynevor	Fair Play
Trine Dyrholm	3096 Tage
Trine Dyrholm	Den skaldede frisør
Trine Dyrholm	Dronningen
Trine Dyrholm	En kongelig affære
Trine Dyrholm	Hævnen
Richard Dysart	Mask
Dmitriy Dyuzhev	Ostrov
Alexis Dziena	Fool's Gold
Alexis Dziena	Wrong
George Dzundza	Basic Instinct
George Dzundza	Crimson Tide
George Dzundza	Dangerous Minds
George Dzundza	The Beast
Marie Déa	Orphée
Mélissa Désormeaux-Poulin	Incendies
Ruth Díaz	Hogar
Ruth Díaz	Tarde para la ira
Miriam Díaz-Aroca	Belle Epoque
Sebnem Dönmez	Hacivat Karagöz Neden Öldürüldü?
Ali Düsenkalkar	Devrim Arabalari
Ceyda Düvenci	Her Sey Çok Güzel Olacak
Engin Altan Düzyatan	Bilal: A New Breed of Hero
William Eadie	Ratcatcher
Michael Ealy	About Last Night
Michael Ealy	Fatale
Michael Ealy	Miracle at St. Anna
Michael Ealy	Seven Pounds
Michael Ealy	Takers
Michael Ealy	The Intruder
Michael Ealy	The Perfect Guy
Michael Ealy	Think Like a Man
Michael Ealy	Underworld: Awakening
Abigail Eames	Shivaay
Jason Earles	Hannah Montana: The Movie
Chloe East	The Wolf of Snow Hollow
Jeff East	Pumpkinhead
Ben Easter	I'll Always Know What You Did Last Summer
Leslie Easterbrook	Police Academy 5: Assignment: Miami Beach
Leslie Easterbrook	Police Academy 6: City Under Siege
Levy Easterly	Beasts of the Southern Wild
Marilyn Eastman	Night of the Living Dead
Rodney Eastman	A Nightmare on Elm Street 4: The Dream Master
Cameron Easton	Tales of Halloween
Alison Eastwood	Tightrope
Clint Eastwood	A Perfect World
Clint Eastwood	Absolute Power
Clint Eastwood	Any Which Way You Can
Clint Eastwood	Blood Work
Clint Eastwood	Bronco Billy
Clint Eastwood	City Heat
Clint Eastwood	Coogan's Bluff
Clint Eastwood	Cry Macho
Clint Eastwood	Dirty Harry
Clint Eastwood	Escape from Alcatraz
Clint Eastwood	Every Which Way But Loose
Clint Eastwood	Firefox
Clint Eastwood	Gran Torino
Clint Eastwood	Hang 'Em High
Clint Eastwood	Heartbreak Ridge
Clint Eastwood	High Plains Drifter
Clint Eastwood	Il buono, il brutto, il cattivo
Clint Eastwood	In the Line of Fire
Clint Eastwood	Joe Kidd
Clint Eastwood	Kelly's Heroes
Clint Eastwood	Magnum Force
Clint Eastwood	Million Dollar Baby
Clint Eastwood	Paint Your Wagon
Clint Eastwood	Pale Rider
Clint Eastwood	Per qualche dollaro in più
Clint Eastwood	Per un pugno di dollari
Clint Eastwood	Pink Cadillac
Clint Eastwood	Play Misty for Me
Clint Eastwood	Space Cowboys
Clint Eastwood	Sudden Impact
Clint Eastwood	The Beguiled
Clint Eastwood	The Bridges of Madison County
Clint Eastwood	The Dead Pool
Clint Eastwood	The Eiger Sanction
Clint Eastwood	The Enforcer
Clint Eastwood	The Gauntlet
Clint Eastwood	The Mule
Clint Eastwood	The Outlaw Josey Wales
Clint Eastwood	The Rookie
Clint Eastwood	Thunderbolt and Lightfoot
Clint Eastwood	Tightrope
Clint Eastwood	Trouble with the Curve
Clint Eastwood	True Crime
Clint Eastwood	Two Mules for Sister Sara
Clint Eastwood	Unforgiven
Clint Eastwood	Where Eagles Dare
Clint Eastwood	White Hunter Black Heart
Francesca Eastwood	The Vault
Scott Eastwood	Enter Nowhere
Scott Eastwood	I Want You Back
Scott Eastwood	Overdrive
Scott Eastwood	Pacific Rim: Uprising
Scott Eastwood	Texas Chainsaw 3D
Scott Eastwood	The Longest Ride
Scott Eastwood	The Outpost
Brando Eaton	Balls Out: Gary the Tennis Coach
Courtney Eaton	Newness
Shirley Eaton	Goldfinger
Christine Ebadi	The Monster
Dagmar Ebbesen	Sommaren med Monika
Christine Ebersole	Black Sheep
Christine Ebersole	Mac and Me
Christine Ebersole	Ri¢hie Ri¢h
Chaz Ebert	Life Itself
David Ebert	Can You Keep a Secret?
Roger Ebert	Life Itself
Eriq Ebouaney	Femme Fatale
Eriq Ebouaney	La horde
Soran Ebrahim	Lakposhtha parvaz mikonand
Vincent Ebrahim	Allied
Bahram Ebrahimi	Marmoulak
Pasha Ebrahimi	Hobo with a Shotgun
Buddy Ebsen	Breakfast at Tiffany's
Cemre Ebuzziya	Karakomik Filmler: 2 Arada
Christopher Eccleston	28 Days Later...
Christopher Eccleston	Amelia
Christopher Eccleston	Jude
Christopher Eccleston	Shallow Grave
Christopher Eccleston	The Others
Christopher Eccleston	The Seeker: The Dark Is Rising
Juan Echanove	La flor de mi secreto
Pablo Echarri	Al final del túnel
Pablo Echarri	El método
Verónica Echegui	The Cold Light of Day
Emilio Echevarría	Amores perros
Emilio Echevarría	The Alamo
Damien Wayne Echols	West of Memphis
Hayat Van Eck	Cep Herkülü: Naim Süleymanoglu
Andrea Eckert	Before Sunrise
Aaron Eckhart	Battle: Los Angeles
Aaron Eckhart	Bill
Aaron Eckhart	Bleed for This
Aaron Eckhart	Conversations with Other Women
Aaron Eckhart	Erased
Aaron Eckhart	I, Frankenstein
Aaron Eckhart	In the Company of Men
Aaron Eckhart	Incarnate
Aaron Eckhart	London Has Fallen
Aaron Eckhart	Love Happens
Aaron Eckhart	No Reservations
Aaron Eckhart	Nothing Is Private
Aaron Eckhart	Olympus Has Fallen
Aaron Eckhart	Paycheck
Aaron Eckhart	Possession
Aaron Eckhart	Rabbit Hole
Aaron Eckhart	Sully
Aaron Eckhart	Suspect Zero
Aaron Eckhart	Thank You for Smoking
Aaron Eckhart	The Black Dahlia
Aaron Eckhart	The Core
Aaron Eckhart	The Dark Knight
Aaron Eckhart	The Rum Diary
Aaron Eckhart	Thursday
Gwen Eckhaus	Spoorloos
Sylvia Eckhausen	Ordet
Ashley Eckstein	Star Wars: The Clone Wars
Tim Eddis	Flash of Genius
Lee Eddy	Apollo 10 1/2: A Space Age Adventure
Ayo Edebiri	Bottoms
Gregg Edelman	Green Card
Herb Edelman	The Odd Couple
Herb Edelman	The Yakuza
David M. Edelstien	My Little Princess
Harry Eden	Flashbacks of a Fool
Daisy Edgar-Jones	Fresh
Daisy Edgar-Jones	Where the Crawdads Sing
The Edge	It Might Get Loud
Joel Edgerton	Animal Kingdom
Joel Edgerton	Black Mass
Joel Edgerton	Boy Erased
Joel Edgerton	Bright
Joel Edgerton	Exodus: Gods and Kings
Joel Edgerton	Gringo
Joel Edgerton	It Comes at Night
Joel Edgerton	Jane Got a Gun
Joel Edgerton	Kinky Boots
Joel Edgerton	Loving
Joel Edgerton	Midnight Special
Joel Edgerton	Red Sparrow
Joel Edgerton	The Gift
Joel Edgerton	The Great Gatsby
Joel Edgerton	The Green Knight
Joel Edgerton	The Odd Life of Timothy Green
Joel Edgerton	The Stranger
Joel Edgerton	The Thing
Joel Edgerton	Thirteen Lives
Joel Edgerton	Warrior
Joel Edgerton	Zero Dark Thirty
Matthew Edison	Interstate 60: Episodes of the Road
J. Trevor Edmond	Lord of Illusions
J. Trevor Edmond	Return of the Living Dead III
Adrian Edmondson	Guest House Paradiso
Richard Edson	Do the Right Thing
Richard Edson	Stranger Than Paradise
Allan Edwall	Offret
Anthony Edwards	Experimenter
Anthony Edwards	Flipped
Anthony Edwards	Miracle Mile
Anthony Edwards	Pet Sematary II
Anthony Edwards	Playing by Heart
Anthony Edwards	Revenge of the Nerds
Anthony Edwards	The Sure Thing
Anthony Edwards	Thunderbirds
Anthony Edwards	Zodiac
Brayden Edwards	The Day
Charles Edwards	Diana
Edward Edwards	Bounce
Evelyn Edwards	Mimi
Hugh Edwards	Lord of the Flies
Julie Edwards	The Royal Treatment
Luke Edwards	Little Big League
Luke Edwards	The Wizard
Reign Edwards	Hell Fest
Roger Edwards	Exists
Snitz Edwards	Seven Chances
Stacy Edwards	In the Company of Men
Vince Edwards	Food, Inc.
Vince Edwards	The Killing
Virginie Efira	20 ans d'écart
Virginie Efira	Benedetta
Zac Efron	17 Again
Zac Efron	Baywatch
Zac Efron	Charlie St. Cloud
Zac Efron	Dirty Grandpa
Zac Efron	Extremely Wicked, Shockingly Evil and Vile
Zac Efron	Firestarter
Zac Efron	Gold
Zac Efron	High School Musical 3: Senior Year
Zac Efron	Liberal Arts
Zac Efron	Me and Orson Welles
Zac Efron	Mike and Dave Need Wedding Dates
Zac Efron	Neighbors
Zac Efron	Neighbors 2: Sorority Rising
Zac Efron	Parkland
Zac Efron	That Awkward Moment
Zac Efron	The Greatest Beer Run Ever
Zac Efron	The Greatest Showman
Zac Efron	The Lorax
Zac Efron	The Lucky One
Zac Efron	The Paperboy
Zac Efron	We Are Your Friends
Aeryk Egan	The Cure
Peter Egan	2001: A Space Travesty
Richard Egan	Pollyanna
Susan Egan	Hercules
Molly Blixt Egelind	Den skaldede frisør
Tamsin Egerton	4.3.2.1.
Tamsin Egerton	Grand Piano
Taron Egerton	Billionaire Boys Club
Taron Egerton	Eddie the Eagle
Taron Egerton	Kingsman: The Golden Circle
Taron Egerton	Kingsman: The Secret Service
Taron Egerton	Legend
Taron Egerton	Robin Hood
Taron Egerton	Rocketman
Taron Egerton	Testament of Youth
Taron Egerton	Tetris
Samantha Eggar	Doctor Dolittle
Samantha Eggar	The Brood
Samantha Eggar	The Collector
Maren Eggert	Ich bin dein Mensch
Brendon Eggertsen	Paranormal Activity 4
Carl Martin Eggesbø	Kampen om Narvik
Colin Egglesfield	Something Borrowed
José Ángel Egido	Los lunes al sol
Atom Egoyan	This Film Is Not Yet Rated
Yôsuke Eguchi	Rurôni Kenshin: Kyôto taika-hen
Yôsuke Eguchi	Rurôni Kenshin: Sai shûshô - The Beginning
Yôsuke Eguchi	Rurôni Kenshin: Sai shûshô - The Final
Zorion Eguileor	El hoyo
Tatsuyoshi Ehara	Jôi-uchi: Hairyô tsuma shimatsu
Jennifer Ehle	Fifty Shades of Grey
Jennifer Ehle	Possession
Jennifer Ehle	Saint Maud
Jennifer Ehle	Spooks: The Greater Good
Jennifer Ehle	Sunshine
Jennifer Ehle	Vox Lux
Jennifer Ehle	Wilde
Alden Ehrenreich	Beautiful Creatures
Alden Ehrenreich	Cocaine Bear
Alden Ehrenreich	Fair Play
Alden Ehrenreich	Hail, Caesar!
Alden Ehrenreich	Solo: A Star Wars Story
Alden Ehrenreich	Tetro
Billy Eichner	Bros
Lars Eidinger	Clouds of Sils Maria
Lars Eidinger	Hell
Lars Eidinger	Persischstunden
Lars Eidinger	Personal Shopper
Gard B. Eidsvold	Troll
Chris Eigeman	Metropolitan
Chris Eigeman	The Last Days of Disco
David Eigenberg	The Mothman Prophecies
Lisa Eilbacher	Beverly Hills Cop
Eiros	The Gods Must Be Crazy II
Jesse Eisenberg	30 Minutes or Less
Jesse Eisenberg	Adventureland
Jesse Eisenberg	American Ultra
Jesse Eisenberg	Batman v Superman: Dawn of Justice
Jesse Eisenberg	Café Society
Jesse Eisenberg	Cursed
Jesse Eisenberg	Louder Than Bombs
Jesse Eisenberg	Night Moves
Jesse Eisenberg	Now You See Me
Jesse Eisenberg	Now You See Me 2
Jesse Eisenberg	Rio
Jesse Eisenberg	Rio 2
Jesse Eisenberg	Roger Dodger
Jesse Eisenberg	Solitary Man
Jesse Eisenberg	The Art of Self-Defense
Jesse Eisenberg	The Double
Jesse Eisenberg	The End of the Tour
Jesse Eisenberg	The Hummingbird Project
Jesse Eisenberg	The Hunting Party
Jesse Eisenberg	The Social Network
Jesse Eisenberg	The Squid and the Whale
Jesse Eisenberg	To Rome with Love
Jesse Eisenberg	Vivarium
Jesse Eisenberg	Zombieland
Jesse Eisenberg	Zombieland: Double Tap
Susan Eisenberg	Justice League vs. the Fatal Five
Levi Eisenblätter	Mute
India Eisley	Look Away
India Eisley	Underworld: Awakening
Penny Eizenga	Code 8
Chiwetel Ejiofor	12 Years a Slave
Chiwetel Ejiofor	2012
Chiwetel Ejiofor	American Gangster
Chiwetel Ejiofor	Children of Men
Chiwetel Ejiofor	Dirty Pretty Things
Chiwetel Ejiofor	Doctor Strange
Chiwetel Ejiofor	Doctor Strange in the Multiverse of Madness
Chiwetel Ejiofor	Infinite
Chiwetel Ejiofor	Kinky Boots
Chiwetel Ejiofor	Locked Down
Chiwetel Ejiofor	Mary Magdalene
Chiwetel Ejiofor	Melinda and Melinda
Chiwetel Ejiofor	Redbelt
Chiwetel Ejiofor	Salt
Chiwetel Ejiofor	Secret in Their Eyes
Chiwetel Ejiofor	Serenity
Chiwetel Ejiofor	Talk to Me
Chiwetel Ejiofor	The Boy Who Harnessed the Wind
Chiwetel Ejiofor	The Lion King
Chiwetel Ejiofor	Triple 9
Chiwetel Ejiofor	Z for Zachariah
Carmen Ejogo	Away We Go
Carmen Ejogo	It Comes at Night
Carmen Ejogo	Roman J. Israel, Esq.
Carmen Ejogo	Selma
Carmen Ejogo	The Purge: Anarchy
Anita Ekberg	La dolce vita
Lars Ekborg	Sommaren med Monika
Bengt Ekerot	Det sjunde inseglet
Te Aho Eketone-Whitu	Boy
Britt Ekland	Get Carter
Britt Ekland	The Man with the Golden Gun
Britt Ekland	The Wicker Man
Michael Eklund	Cold Pursuit
Gösta Ekman	Faust: Eine deutsche Volkssage
Lee El	Kol
Khaled El-Sawi	The Blue Elephant
Jack Elam	Rio Lobo
Paul Elam	The Red Pill
Idris Elba	Bastille Day
Idris Elba	Cats
Idris Elba	Fast & Furious Presents: Hobbs & Shaw
Idris Elba	Ghost Rider: Spirit of Vengeance
Idris Elba	Luther: The Fallen Sun
Idris Elba	Mandela: Long Walk to Freedom
Idris Elba	Molly's Game
Idris Elba	No Good Deed
Idris Elba	Obsessed
Idris Elba	Pacific Rim
Idris Elba	RocknRolla
Idris Elba	The Dark Tower
Idris Elba	The Gunman
Idris Elba	The Jungle Book
Idris Elba	The Losers
Idris Elba	The Mountain Between Us
Idris Elba	The Reaping
Idris Elba	The Suicide Squad
Idris Elba	This Christmas
Idris Elba	Three Thousand Years of Longing
Idris Elba	Zootopia
Omar Elba	A Hologram for the King
Vincent Elbaz	Je ne suis pas un homme facile
Vincent Elbaz	Le jeu
Cansel Elcin	Bizim Hikaye
Ron Eldard	Freedomland
Ron Eldard	Ghost Ship
Ron Eldard	House of Sand and Fog
Ron Eldard	The Last Supper
Tara Elders	Interview
Carmen Electra	Disaster Movie
Carmen Electra	Meet the Spartans
Carmen Electra	Scary Movie
Israel Elejalde	Madres paralelas
Karra Elejalde	Bajo Cero
Karra Elejalde	Los cronocrímenes
Karra Elejalde	Ocho apellidos vascos
Karra Elejalde	También la lluvia
Erika Eleniak	Bordello of Blood
Erika Eleniak	The Beverly Hillbillies
Erika Eleniak	Under Siege
Christina Eleusiniotis	My Big Fat Greek Wedding
Danny Elfman	The Nightmare Before Christmas
Jenna Elfman	EDtv
Jenna Elfman	Friends with Benefits
Jenna Elfman	Keeping the Faith
Jenna Elfman	Looney Tunes: Back in Action
Richard Elfyn	Apostle
Waleed Elgadi	Mosul
Ansel Elgort	Baby Driver
Ansel Elgort	Billionaire Boys Club
Ansel Elgort	Insurgent
Ansel Elgort	Men, Women & Children
Ansel Elgort	The Fault in Our Stars
Ansel Elgort	The Goldfinch
Ansel Elgort	West Side Story
Nicholas Elia	Speed Racer
Carme Elias	La flor de mi secreto
Is'haq Elias	Mosul
Christine Elise	Child's Play 2
Kimberly Elise	Diary of a Mad Black Woman
Kimberly Elise	Dope
Kimberly Elise	John Q
Kimberly Elise	Set It Off
Kimberly Elise	The Great Debaters
Kimberly Elise	The Manchurian Candidate
Shannon Elizabeth	American Pie 2
Shannon Elizabeth	Thir13en Ghosts
Shannon Elizabeth	Tomcats
Hector Elizondo	American Gigolo
Hector Elizondo	Frankie and Johnny
Hector Elizondo	Necessary Roughness
Hector Elizondo	Runaway Bride
Hector Elizondo	The Princess Diaries
Hector Elizondo	The Princess Diaries 2: Royal Engagement
Hector Elizondo	The Taking of Pelham One Two Three
Hector Elizondo	Turbulence
Ronit Elkabetz	Bikur Ha-Tizmoret
Benny Elledge	Reality
Per Christian Ellefsen	Elling
Harry Ellerbe	The Fall of the House of Usher
Yvonne Elliman	Jesus Christ Superstar
Tate Ellington	The Endless
David Elliot	Kajaki
Steven Elliot	Hidden
Su Elliot	Jane Eyre
Chris Elliott	CB4
Chris Elliott	Groundhog Day
Chris Elliott	Snow Day
Denholm Elliott	A Room with a View
Denholm Elliott	Indiana Jones and the Last Crusade
Denholm Elliott	Maurice
Denholm Elliott	Noises Off...
Denholm Elliott	September
Missy Elliott	Honey
Sam Elliott	A Star Is Born
Sam Elliott	Barnyard
Sam Elliott	Did You Hear About the Morgans?
Sam Elliott	Ghost Rider
Sam Elliott	Hulk
Sam Elliott	Lady and the Tramp
Sam Elliott	Mask
Sam Elliott	Road House
Sam Elliott	The Hero
Sam Elliott	The Man Who Killed Hitler and Then the Bigfoot
Sam Elliott	Tombstone
Sam Elliott	We Were Soldiers
William Elliott	Coffy
Chris Ellis	Faults
Erica Ellis	Cashback
Jay Ellis	Escape Room
Matt Ellis	Rememory
Nelsan Ellis	Get on Up
Nelsan Ellis	Secretariat
Tara Ellis	Eden Lake
Warren Ellis	20,000 Days on Earth
Aunjanue Ellis-Taylor	King Richard
Aunjanue Ellis-Taylor	Men of Honor
Aunjanue Ellis-Taylor	Pimp
Aunjanue Ellis-Taylor	Undercover Brother
Art Ellison	Carnival of Souls
Chase Ellison	Mysterious Skin
Chase Ellison	That's What I Am
James Ellison	I Walked with a Zombie
Jennifer Ellison	The Cottage
Caleb Ellsworth-Clark	The Silencing
Gad Elmaleh	Hors de prix
Gad Elmaleh	L'écume des jours
Gad Elmaleh	La doublure
Gad Elmaleh	Un monstre à Paris
Naz Elmas	Bizim Hikaye
Roushan Karam Elmi	Bad ma ra khahad bord
Eric Elmosnino	Gainsbourg (Vie héroïque)
Eric Elmosnino	La famille Bélier
Jacob Elordi	The Kissing Booth
Jacob Elordi	The Kissing Booth 2
Jacob Elordi	The Kissing Booth 3
Xabier Elorriaga	Tesis
Bárbara Elorrieta	Beyond Re-Animator
Michael Elphick	Forbrydelsens element
Bree Elrod	Red Rocket
Sylvie Van den Elsen	L'argent
Cary Elwes	A Castle for Christmas
Cary Elwes	Ella Enchanted
Cary Elwes	Glory
Cary Elwes	Hot Shots!
Cary Elwes	Kiss the Girls
Cary Elwes	No Strings Attached
Cary Elwes	Operation Fortune: Ruse de Guerre
Cary Elwes	Quest for Camelot
Cary Elwes	Robin Hood: Men in Tights
Cary Elwes	Saw
Cary Elwes	Saw 3D
Cary Elwes	Shadow of the Vampire
Cary Elwes	The Crush
Cary Elwes	The Jungle Book
Cary Elwes	The Princess Bride
Cary Elwes	Twister
Roger Elwin	Lord of the Flies
Ouassini Embarek	Athena
Ouassini Embarek	The Good Thief
Ethan Embry	Can't Hardly Wait
Ethan Embry	Cheap Thrills
Ethan Embry	Dutch
Ethan Embry	Harold & Kumar Go to White Castle
Ethan Embry	Last Seen Alive
Ethan Embry	The Devil's Candy
Ethan Embry	They
Ethan Embry	Vacancy
Ethan Embry	Vegas Vacation
Louane Emera	La famille Bélier
August Emerson	Soaked in Bleach
Karrie Emerson	Chopping Mall
Caleb Emery	Summer of 84
David Emge	Dawn of the Dead
Daniel Emilfork	La cité des enfants perdus
Eminem	8 Mile
Nathalie Emmanuel	Army of Thieves
Nathalie Emmanuel	The Invitation
Noah Emmerich	Beautiful Girls
Noah Emmerich	Miracle
Noah Emmerich	Pride and Glory
Noah Emmerich	The Truman Show
Noah Emmerich	Windtalkers
Pepita Emmerichs	Where the Wild Things Are
Linda Emond	Causeway
Linda Emond	Jenny's Wedding
Tôru Emori	Paprika
Tôru Emori	Tôkyô goddofâzâzu
Tameka Empson	Beautiful Thing
Lena Endre	Flickan som lekte med elden
Lena Endre	Kyss mig
Lena Endre	Luftslottet som sprängdes
Lena Endre	Män som hatar kvinnor
Aya Endô	Gekijouban Jujutsu Kaisen 0
Ken'ichi Endô	Bijitâ Q
Bertram Bisgaard Enevoldsen	Skyggen i mit øje
Harry Enfield	Kevin & Perry Go Large
Erik Enge	Svart krabba
Aryana Engineer	Resident Evil: Retribution
Sachet Engineer	Taare Zameen Par
Alexander England	Danger Close: The Battle of Long Tan
Alexander England	Little Monsters
Dave England	Jackass Forever
Lou Engle	Jesus Camp
Alice Englert	Beautiful Creatures
Alice Englert	Ginger & Rosa
Alice Englert	In Fear
Alice Englert	You Won't Be Alone
Charles Engles	Girl in the Picture
Judy Engles	Fritz the Cat
Björn Englund	Du levande
Robert Englund	2001 Maniacs
Robert Englund	A Nightmare on Elm Street
Robert Englund	A Nightmare on Elm Street 3: Dream Warriors
Robert Englund	A Nightmare on Elm Street 4: The Dream Master
Robert Englund	A Nightmare on Elm Street Part 2: Freddy's Revenge
Robert Englund	A Nightmare on Elm Street: The Dream Child
Robert Englund	Behind the Mask: The Rise of Leslie Vernon
Robert Englund	Choose or Die
Robert Englund	Freddy vs. Jason
Robert Englund	Freddy's Dead: The Final Nightmare
Robert Englund	Wes Craven's New Nightmare
Robert Englund	Zombie Strippers!
Bill Engvall	Delta Farce
Ida Engvoll	En man som heter Ove
Mireille Enos	If I Stay
Mireille Enos	The Captive
Mireille Enos	The Lie
Mireille Enos	World War Z
Cedric The Entertainer	A Haunted House 2
Cedric The Entertainer	Barbershop
Cedric The Entertainer	Barbershop 2: Back in Business
Cedric The Entertainer	Code Name: The Cleaner
Cedric The Entertainer	Dr. Dolittle 2
Cedric The Entertainer	First Reformed
Cedric The Entertainer	Man of the House
Cedric The Entertainer	Why Him?
Julie Entwisle	The Night Flier
Lee Eol	Samaria
Molly Ephraim	Paranormal Activity 2
Louis Eppolito	Lost Highway
Mike Epps	All About the Benjamins
Mike Epps	Dolemite Is My Name
Mike Epps	Fifty Shades of Black
Mike Epps	Friday After Next
Mike Epps	How High
Mike Epps	Meet the Blacks
Mike Epps	Next Day Air
Mike Epps	Next Friday
Mike Epps	Open Season 2
Mike Epps	Talk to Me
Omar Epps	Brother
Omar Epps	Higher Learning
Omar Epps	Juice
Omar Epps	Love & Basketball
Omar Epps	The Program
Shareeka Epps	AVPR: Aliens vs Predator - Requiem
Shareeka Epps	Half Nelson
Kathryn Erbe	D2: The Mighty Ducks
Kathryn Erbe	Stir of Echoes
Serkan Ercan	15/07 Safak Vakti
Stipe Erceg	Die fetten Jahre sind vorbei
Goksin Erdemli	All the Old Knives
Yilmaz Erdogan	Bir Zamanlar Anadolu'da
Yilmaz Erdogan	Organize Isler
Yilmaz Erdogan	Organize Isler: Sazan Sarmali
Yilmaz Erdogan	Vizontele
Yilmaz Erdogan	Vizontele Tuuba
Halit Ergenç	Devrim Arabalari
Canan Erguder	Behzat Ç.: Seni Kalbime Gömdüm
Serhan Ergören	Itirazim Var
Halil Ergün	Yol
Hazar Ergüçlü	Ahlat Agaci
Kit Erhart-Bruce	Talk to Me
Cynthia Erivo	Bad Times at the El Royale
Cynthia Erivo	Harriet
Cynthia Erivo	Luther: The Fallen Sun
Öner Erkan	Azizler
Altan Erkekli	Ask Tesadüfleri Sever
Altan Erkekli	Organize Isler
Altan Erkekli	Vizontele
Altan Erkekli	Vizontele Tuuba
Matthew-Lee Erlbach	Another Earth
Benedikt Erlingsson	Direktøren for det hele
R. Lee Ermey	Fletch Lives
R. Lee Ermey	Full Metal Jacket
R. Lee Ermey	Willard
Sserunya Ernest	Who Killed Captain Alex?
Max Ernst	L'âge d'or
Ayhan Eroglu	Reis
Serif Erol	Tabutta Rövasata
Homayoun Ershadi	Ta'm e guilass
Maya Erskine	Plus One
Caglar Ertugrul	Dag
Caglar Ertugrul	Dag II
Bill Erwin	The Land Before Time
Funda Eryigit	Limonata
Mehmet Eryilmaz	Iklimler
Sandra Escacena	Verónica
Arlen Escarpeta	Final Destination 5
Hans Escher	Ich seh, Ich seh
Gustavo Escobar	Instant Family
Timuçin Esen	Gönül Yarasi
Timuçin Esen	Müslüm
Milad Eskandari	Flugt
Alex Esmail	Attack the Block
Dean Esmay	The Red Pill
Esom	Gil Bok-soon
Michael Esper	Resurrection
Giancarlo Esposito	Bob Roberts
Giancarlo Esposito	Fresh
Giancarlo Esposito	Last Holiday
Giancarlo Esposito	Maze Runner: The Scorch Trials
Giancarlo Esposito	Mo' Better Blues
Giancarlo Esposito	Nothing to Lose
Giancarlo Esposito	Smoke
Jennifer Esposito	Summer of Sam
Jennifer Esposito	The Master of Disguise
Salvatore Esposito	Taxi 5
